ds_sid,date_sid,store_sid,date_code,store_master_code,store_code,store_name,short_name,channel,store_type,country,region,province,city,address1,address2,address3,latitude,longitude,zip_code,customer_code,customer_name,customer_sort,warehouse_code,warehouse_name,district_manager,pin_code,b1_code,fms_site_code,sit_code,sap_customer_code,area,cluster,open_date,close_date,open_flag,keep_comp,comp_flag,finance_comp,active_flag,source_interface,source_sys,hdetl_date,store_local_name,phone1,phone2,store_no,subchannel
20250212000373,45698,373,2025-02-12 00:00:00,TWN_0735,DSBH_TWN_0735,Kaohsiung Juejiang Feng Shan SF,0735,FP,BH,Taiwan,APAC,Taiwan,Kaohsiung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,284.4000,C,2017-12-19 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000379,45698,379,2025-02-12 00:00:00,TWN_0917,DSBH_TWN_0917,Keelung ESquare SM,0917,FP,BH,Taiwan,APAC,Taiwan,Keelung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,260.6000,C,2018-02-14 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000382,45698,382,2025-02-12 00:00:00,TWN_1014,DSFH_TWN_1014,Kaohsiung Nanzi FH,1014,FP,FH,Taiwan,APAC,Taiwan,Kaohsiung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,755.5000,C,2018-02-10 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000384,45698,384,2025-02-12 00:00:00,TWN_1016,DSBH_TWN_1016,Tainan City T.S. Mall DS,1016,FP,BH,Taiwan,APAC,Taiwan,Tainan,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,164.3000,C,2018-02-08 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000391,45698,391,2025-02-12 00:00:00,TWN_1065,DSBH_TWN_1065,Taichung Yichung Taiping SF,1065,FP,BH,Taiwan,APAC,Taiwan,Taichung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,381.3000,C,2017-12-22 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000398,45698,398,2025-02-12 00:00:00,TWN_1078,DSBH_TWN_1078,Haulien Chungcheng SF,1078,FP,BH,Taiwan,APAC,Taiwan,Hualien,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,228.6000,C,2018-02-22 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000426,45698,426,2025-02-12 00:00:00,TWN_1159,DSBH_TWN_1159,Taipei Ximending Cheng Du SF,1159,FP,BH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,358.7100,C,2018-04-04 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000627,45698,627,2025-02-12 00:00:00,TWN_1324,DSFH_TWN_1324,Taichung Wuchi Mitsui FH,1324,FP,FH,Taiwan,APAC,Taiwan,Taichung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,380.7000,C,2018-11-29 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212001945,45698,1945,2025-02-12 00:00:00,TWN_0632,DSBH_TWN_0632,New Taipei  Chungho Globalmall DS,0632,FP,BH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,91.8000,C,2013-09-13 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212001946,45698,1946,2025-02-12 00:00:00,TWN_1756,DSBH_TWN_1756,Xin Yi Uni Present DS,1756,FP,BH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,134.0000,C,2020-03-12 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212001947,45698,1947,2025-02-12 00:00:00,TWN_1770,DSBH_TWN_1770,Taoyuan Far Eastern DS,1770,FP,BH,Taiwan,APAC,Taiwan,Taoyuan,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,94.5000,C,2020-04-16 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212001948,45698,1948,2025-02-12 00:00:00,TWN_0629,DSBH_TWN_0629R,Taipei Chungshan Miramar DS,0629,FP,BH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,118.6000,C,2016-09-23 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212002115,45698,2115,2025-02-12 00:00:00,TWN_0540,DSBH_TWN_0540,Kaohsiung Xinxing Chungshan SF,0540,FP,BH,Taiwan,APAC,Taiwan,Kaohsiung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,371.1000,C,2020-08-07 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212002219,45698,2219,2025-02-12 00:00:00,TWN_1801,DSBH_TWN_1801,"Kaohsiung  Mall E Sky Land DS ",1801,FP,BH,Taiwan,APAC,Taiwan,Kaohsiung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,136.1000,C,2020-03-20 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000026,45698,26,2025-02-12 00:00:00,TWN_0175,DSBH_TWN_0175,New Taipei Panchiao Far Eastern Chungshan DS,,FP,BH,Taiwan,,,,,,,,,,UATaiwanStarlike,UATaiwanStarlike,,,,,,,,,0013163268,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,SPS,2022-06-12 22:31:20.003,,,,,
20250212000137,45698,137,2025-02-12 00:00:00,TWN_0434,DSBH_TWN_0434,Taipei Shilin Dayeh Takashimaya DS,,FP,BH,Taiwan,,,,,,,,,,UATaiwanStarlike,UATaiwanStarlike,,,,,,,,,0013163268,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,SPS,2022-06-12 22:31:20.003,,,,,
20250212000222,45698,222,2025-02-12 00:00:00,TWN_0653,DSFH_TWN_0653,Hsinchu East Zhongzheng FH,,FP,FH,Taiwan,,,,,,,,,,UATaiwanStarlike,UATaiwanStarlike,,,,,,,,,0013163268,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,SPS,2022-06-12 22:31:20.003,,,,,
20250212000241,45698,241,2025-02-12 00:00:00,TWN_0682,DSBH_TWN_0682,Taipei Zhongzheng Gongguan SF,,FP,BH,Taiwan,,,,,,,,,,UATaiwanStarlike,UATaiwanStarlike,,,,,,,,,0013163268,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,SPS,2022-06-12 22:31:20.003,,,,,
20250212000253,45698,253,2025-02-12 00:00:00,TWN_0734,DSBH_TWN_0734,Taoyuan Taoyuan Taohuayuan SF,,FP,BH,Taiwan,,,,,,,,,,UATaiwanStarlike,UATaiwanStarlike,,,,,,,,,0013163268,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,SPS,2022-06-12 22:31:20.003,,,,,
20250212000279,45698,279,2025-02-12 00:00:00,TWN_0834,DSBH_TWN_0834,Taoyuan Zhongli  Jianguo SF,,FP,BH,Taiwan,,,,,,,,,,UATaiwanStarlike,UATaiwanStarlike,,,,,,,,,0013163268,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,SPS,2022-06-12 22:31:20.003,,,,,
20250212000399,45698,399,2025-02-12 00:00:00,TWN_1080,DSBH_TWN_1080,Taichung Xitun Fengchia 2 SF,,FP,BH,Taiwan,,,,,,,,,,UATaiwanStarlike,UATaiwanStarlike,,,,,,,,,0013163268,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,SPS,2022-06-12 22:31:20.003,,,,,
20250212003827,45698,3827,2025-02-12 00:00:00,TWN_3077,DSFH_TWN_3077,Kaohsiung Skm Park FH,3077,FP,FH,Taiwan,,Taiwan,Kaohsiung,,,,,,,001,Retail,,,,Judith chen,,,,,,317.6000,,2024-12-18 00:00:00,9999-12-31 00:00:00,Open,,N,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250120.csv,2025-01-21 01:11:13.176759,,,,,
